"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"10/01/22","1,230,408","925,880","709,133","268,696","302,309","83,996","31,847","79,442"
"11/01/22","1,298,937","982,226","748,053","283,329","327,495","88,657","33,784","83,527"
"12/01/22","1,377,173","1,047,117","795,101","299,773","351,938","93,258","35,404","87,700"
"13/01/22","1,460,326","1,113,186","842,869","317,010","378,338","98,837","37,590","92,080"
"14/01/22","1,543,306","1,180,133","888,909","334,843","405,490","104,650","39,729","96,367"
"15/01/22","1,623,598","1,245,407","933,993","352,105","431,833","109,026","41,666","100,253"
"16/01/22","1,667,819","1,281,561","954,998","362,173","447,693","111,313","42,449","102,922"
"17/01/22","1,688,494","1,302,248","968,907","369,540","456,379","113,738","42,993","104,819"
"18/01/22","1,773,457","1,363,550","1,007,658","385,590","484,478","118,571","44,660","109,252"
"19/01/22","1,852,702","1,422,745","1,050,459","402,249","509,846","123,152","46,601","114,462"
"20/01/22","1,932,894","1,484,213","1,093,798","420,006","537,343","129,761","48,780","119,211"
"21/01/22","2,015,951","1,558,749","1,138,010","439,634","566,190","134,705","50,761","124,962"
"22/01/22","2,096,546","1,631,090","1,179,011","457,691","593,149","139,614","52,511","129,947"
"23/01/22","2,139,311","1,678,666","1,198,204","468,739","608,880","141,737","53,245","133,356"
"24/01/22","2,158,985","1,710,476","1,211,049","475,926","618,526","143,679","53,829","135,827"
"25/01/22","2,238,648","1,780,459","1,250,361","493,140","645,776","148,473","55,461","141,243"
"26/01/22","2,312,892","1,851,392","1,293,877","511,780","672,040","154,032","57,101","146,734"
"27/01/22","2,322,363","1,874,152","1,303,696","516,843","678,978","156,193","57,382","149,323"
"28/01/22","2,395,435","1,937,422","1,346,196","533,339","704,552","160,206","58,947","153,957"
"29/01/22","2,475,507","1,999,264","1,386,946","549,071","729,892","163,657","60,559","158,405"
"30/01/22","2,515,690","2,038,088","1,405,939","557,885","744,655","167,447","61,410","161,344"
"31/01/22","2,531,396","2,060,639","1,416,125","562,819","752,822","168,439","61,851","163,244"
"01/02/22","2,594,189","2,118,428","1,448,508","576,670","780,374","172,644","63,715","168,016"
"02/02/22","2,664,260","2,176,287","1,483,501","591,572","809,962","177,378","65,324","172,836"
"03/02/22","2,731,129","2,238,504","1,523,250","607,349","838,933","182,175","67,097","177,853"
"04/02/22","2,795,501","2,295,785","1,557,389","621,584","868,454","187,015","68,667","182,679"
"05/02/22","2,855,166","2,354,507","1,592,267","635,088","896,039","191,598","70,366","187,369"
"06/02/22","2,877,894","2,389,536","1,606,504","642,872","911,939","193,824","71,031","190,690"
"07/02/22","2,886,740","2,411,193","1,615,611","647,306","920,967","194,448","71,460","192,317"
"08/02/22","2,940,871","2,466,877","1,642,665","658,870","946,147","197,902","73,060","196,983"
"09/02/22","2,999,089","2,520,209","1,673,028","670,402","970,126","202,028","74,371","201,089"
"10/02/22","3,053,156","2,572,942","1,703,608","681,917","994,166","206,137","75,661","204,187"
